,targetNumber,targetText
1794,1794,"Further, an E-Gov Master Plan that has been developed to provide the strategic direction for development of the sector will be implemented during the Eleventh Plan."
1795,1795,"The main thrust in the Eleventh Plan will be to make the sector affordable, reliable and sustainable through implementation of the E-Gov Master Plan."
1796,1796,"The objective of the E-gov Master Plan is to consolidate and optimize the investments in various IT infrastructures during the Tenth Plan period for improved service delivery, enhanced access to services and information and facilitating good governance."
1797,1797,"The focus will be on consolidating the E-gov projects such as the G2C, establishing a government data centre, and further improving the nationwide intranet system Thimphu Wide Area Network (TWAN) & Dzongkhag Local Area Network (DLANs) for smooth and seamless functioning of many of our online services."
1798,1798,Special attention will be paid to tapping the potential of mobile technology for delivering services including for financial payments.
1799,1799,"C EN TR A L PL A N 05 198 Eleventh Five Year Plan - Main Document Volume I 5.9.1 Current Situation Since the launch of television and internet on 2 June 1999 and cellular mobile on 11 November 2003, ICT and media sector has made significant progress."
1800,1800,The key indicators of the ICT and Media sector are as follows: Table 5.9.1 ICT & Media Indicators Sl.
1801,1801,"Indicators 2004 2008 2010 2011 2012 1 Fixed line telephone subscribers 30,285 27,937 26,292 27,490 27,057 2 Cellular mobile subscribers 18,995 228,347 394,316 (56.7%) 484,189 (68.4%) 560,890 (77.8 %) 3 No."
1802,1802,of Geogs with access to cellular mobile services (out of 205 Geogs) n.a.
1803,1803,"98 204 205 205 4 Internet subscribers: 35 5,548 94,285 94,285 133,289 i) Lease line 109 199 280 308 317 ii) Fixed Broadband 1,300 8,675 13,233 15,078 16,766 iii)GPRS/EDGE 82,462 118,852 120,406 iv) 3G Users 18,686 5 No."
1804,1804,of Television Stations 1 1 1 1 1 6 No.
1805,1805,of Radio Stations 1 4 6 7 7 7 No.
1806,1806,"of newspapers 1 4 7 10 12 Source: MoIC Progress Report June 2012 ICT & Media Indicators Policy: Bhutan Information, Communication and Media Act (BICMA) 2006 provide the overall legal framework for the development of ICT and media sector."
1807,1807,"The Act is being revised to incorporate provisions on cyber security, data protection, privacy, broadcasting etc."
1808,1808,"Further, the e-Gov Master Plan, Telecom & Broadband Policy, Media Policy, Film Policy and Advertisement Policy have been drafted and will be submitted to the government for approval in the Eleventh Plan."
1809,1809,"Infrastructure: Under the National Broadband Master plan project, optical fibers have currently reached all 20 Dzongkhags and 174 Gewogs."
1810,1810,The Second International Gateway has been established at Gelephu and operationalized to create the required redundancy.
1811,1811,"Direct high bandwidth connectivity to India, Nepal and Bangladesh is being established under SASEC Information Highway Project."
1812,1812,More than 90 Government organizations are connected through the Thimphu Wide Area Network (TWAN).
1813,1813,"Of the 182 Community Centres (CCs) that have been established, 87 CCs have broadband internet connectivity as of June 2013 while the remaining will be connected in the Eleventh Plan."
1814,1814,"B-Mobile, a subsidiary of Bhutan Telecom Limited (BTL), and Tashi-Cell, a subsidiary of Tashi InfoComm Limited (TICL), are currently the two service providers offering mobile services with BTL being the sole provider of fixed-line telecommunication in the country."
1815,1815,"Internet services are provided by Druknet (under BTL), TICL, Samden Tech and Drukcom."
1816,1816,"e-Service Delivery - In the area of e-Services, a Government-to-Citizen (G2C) initiative is underway to implement 136 e-Services."
1817,1817,22 G2C e-services have been made available through the CCs that are connected with internet.
1818,1818,"5.9.2 Key Challenges Telecom tariff Telecommunication tariff will be an important consideration for investors to set-up BPOs, KPOs, Data Centre and IT enabled services."
1819,1819,"Currently, telecommunication tariffs in Bhutan are much higher than those in India with differences ranging from 114 percent for 1 mbps to 315 percent for 8 mbps."
1820,1820,"The high difference in tariff levels could negate Bhutans comparative advantage of political stability, clean environment and availability of cheap and reliable power."
1821,1821,The tariff structure will be reviewed to make it more competitive and affordable.
1822,1822,Comparision of Telecom Tariff between Bhutan and India C EN TR A L PL A N 05 200 Eleventh Five Year Plan - Main Document Volume I International redundancy: International redundancy is defined as direct telecom infrastructural links with multiple countries.
1823,1823,"At present, all telecom links to the outside world are routed through Siliguri, India."
1824,1824,An alternate telecom link with the outside world is necessary for international redundancy without which it may be difficult to position Bhutan as a potential hub for ICT and ICT enabled services.
1825,1825,"An alternate link through Coxs Bazaar, Bangladesh will be explored."
1826,1826,Talent Pool - the strength of the ICT sector is primarily determined by availability of a rich pool of competent information and communications professionals.
1827,1827,"Currently, Bhutan has about 350 ICT professionals within the civil service."
1828,1828,"However, the sector still lacks qualified professionals particularly in specialized ICT skills such as network security, cyber laws, software development and programming."
1829,1829,"Creating a talent pool and strengthening ICT human resource management through parenting, clear career advancement opportunities and effective deployment and utilization of ICT personnel will be a priority."
1830,1830,5.9.3 Sector Key Result Areas Table 5.9.3 ICT and Media Sector SKRAs/KPIs GNH Pillars Sector Key Result Areas Key Performance Indicators Baseline Target Villages with reliable mobile network 85% 100% Dzongkhag with access to high speed internet services 20% 100% Monthly Broadband subscription charge (home) Nu.
1831,1831,399 Contribution to GDP and number of job created No.
1832,1832,of Bhutanese employed in IT/ITES by gender 964 3000 Preservation and Promotion of Culture Culture and traditions kept alive through ICT and media.
1833,1833,"Exhibitions, debates, quiz on culture/traditions covered/ facilitated by ICT/media 0 5 Conservation & Sustainable Utilization and Management of Environment E-waste reduced Amount of e-waste (MT/annum) 0 <8 MT Number of e-services delivered 49 >100 Number of m-services delivered 3 >10 M-payment gateway introduced 0 1 TAT for public services reduced >75 % Anticorruption Strategy implemented Average performance rating (Govt."
1834,1834,"Performance Management System - GPMS) >90 % Effective and efficient public service delivery Strengthening Good Governance Sustainable and Equitable Socio-Economic Development ICT & MEDIA SECTOR - SKRAs/KPIs Key Objective -i) Promote Bhutanese information society, strengthen good governance and enhance economic development and ii) To develop a responsible, vibrant and creative information and media industry Access to reliable and affordable ICT and media services improved 46Telecom Consultants of India Limited (TCIL) report titled, Report on redundant network for Bhu- tan and Siliguri Single Point of Failure on 21 March, 2011 suggest alternate path through Karsi- yang, West Bengal and back-to-back Service Level Agreement with Indian service providers could provide international redundancy."
1835,1835,"201 Eleventh Five Year Plan - Main Document Volume I 5.9.4 Strategies While implementation of e-Gov Master Plan, capacity building and ICT infrastructure expansion will be the main strategy for ICT sector, the following will be pursued to address the issues and challenges confronting the ICT sector: Review of telecommunication tariff to ensure affordability and competitiveness."
1836,1836,"Improve international redundancy by exploring alternate link through Cox Bazar, Bangladesh."
1837,1837,"Create talent pool and strengthen ICT human resource management through parenting, clear career advancement opportunities and effective deployment and utilization of ICT personnel."
1838,1838,"5.9.5 Key Programmes ICT for good governance and socio economic development - the focus will be on consolidating the e-governance projects, digital migration, establishing a whole of government data centre, and further improving the nationwide intranet system (TWAN & DLANs) for smooth and seamless functioning of many of our e-government services."
1839,1839,"Promotion and Development of Media - the main focus will be introducing media and information literacy curriculum in schools, and promotion of contemporary arts, creative media and films and strengthening policy and legal instruments."
1840,1840,Programme details are presented in Eleventh Plan Volume II document.
1841,1841,C EN TR A L PL A N 05 202 Eleventh Five Year Plan - Main Document Volume I 5.10 Transport Sector Transport sector covers surface and air transport.
1842,1842,"The main thrust of the transport sector in the Eleventh Plan will be to ensure safe, efficient and reliable transport services."
1843,1843,The primary objective of Bhutan Transport Strategy is to address the issue of growing traffic congestion particularly in Thimphu and Phuentsholing and improve access to reliable and safe public transport to all parts of the country.
1844,1844,"Also, emphasis will be placed on making our roads safer through extensive advocacy and education programmes."
1845,1845,"Air Transport activities will focus on expansion of facilities at Paro International Airport, enhance safety and regulatory system and upgradation of three domestic airports including the feasibility and construction of Short Take-Off and Landing (STOL) airstrips."
1846,1846,5.10.1 Current Situation Surface Transport Surface transport is the main means of passengers and good transportation.
1847,1847,The transport operators are provided interest subsidy of 60 percent on the loan as an incentive for operating in economically unviable routes.
1848,1848,"To address urban transportation needs, a study on Bhutan Urban Transport Systems to assess the feasibility of introducing eco-friendly mass urban transport system using clean fuel for Thimphu and Phuentsholing has been completed."
1849,1849,"The study recommends Bus Rapid Transit (BRT), high capacity buses (60 seats) which meet European emission standards, for Thimphu to be implemented under Public Private Partnership model."
1850,1850,"In the meantime, city bus services in Thimphu will continue to be provided by Bhutan Post."
1851,1851,"To enhance public service delivery, the web-based Registration and Licensing Information System (e-RaLIS) services were launched reducing the turnaround time for issuance of new driving licenses and renewals significantly."
1852,1852,"47Statistical Yearbook 2012, NSB 203 Eleventh Five Year Plan - Main Document Volume I Air transport Aviation services in Bhutan commenced in 1983 with Druk Air flights to Kolkata with fleet of two 18-seat Dornier 228 aircraft."
1853,1853,"Since then, aviation services have expanded to ten international routes connecting Bhutan with India, Thailand, Nepal, Bangladesh and Singapore."
1854,1854,"Currently, Bhutan has signed Air Service Agreement (ASA) with India, Nepal, Bangladesh, Thailand, Myanmar, Maldives and Singapore."
1855,1855,"Signing of ASA with the remaining SAARC countries (Pakistan, Afghanistan and Sri Lanka) have also been initiated with a larger plan to air-link all SAARC capitals."
1856,1856,"Similarly, ASA with South East Asian nations such as South Korea, Vietnam, Laos, Malaysia, Cambodia and Hong-Kong are being explored."
1857,1857,"Table 5.10.1 Selected Air Transport Indicators 2007 2008 2009 2010 2011 Number of passengers carried 121,711 119,105 118,084 132,615 166,264 Druk Airs operating revenue (Nu."
1858,1858,"M) 1,255 1,168 1,344 1,495 2,261 Number of flights by Druk Air 3,415 3,224 3,142 2,954 3,810 Source: Statistical Year Book 2012, NSB."
1859,1859,"With the completion of construction of Yongphula, Bumthang and Gelephu airports, domestic air services was launched in 2011 by Druk Air and Tashi Air (first private domestic operator)."
1860,1860,"However, the services to Yonphula has been suspended till 2014 to complete major development works and only chartered services are available to Gelephu."
1861,1861,5.10.2 Key Challenges Surface transport Road safety is a major issue with number of vehicles increasing every year.
1862,1862,Over the last five years the number of vehicles has almost doubled with 90 percent of vehicles registered under Thimphu and Phuentsholing regions.
1863,1863,Thimphu and Chukha Dzongkhags tops the accident list with light vehicles leading the category of vehicles involved in accidents.
1864,1864,"C EN TR A L PL A N 05 48MoIC Progress Report, June 2012 204 Eleventh Five Year Plan - Main Document Volume I Mechanical fault Drunk Driving Bad weather Without license Unknow causes Other Total Total in 20 Dzongkhags 49 222 76 158 2 1223 1730 Of which in Thimphu 10 176 22 126 0 949 1283 Of which in Chukha 27 34 24 14 0 180 279 Of which light vehicles 25 195 46 138 1 1046 1451 Source: Statistical Yearbook 2012, NSB."
1865,1865,"Causes of Motor Vehicle Accidents 2011 Moreover, since the transport functions are carried out by number of agencies highway construction and maintenance by the Department of Roads, urban roads by Thromde, traffic management by the Royal Bhutan Police, licensing/ vehicle fitness by the Road Safety Transport Authority issues of coordination and implementation is a challenge."
1866,1866,"Air transport Air travel is the most efficient means of travel to and from Bhutan, particularly for tourists, business travelers, foreign investors and medical referrals patients, the alternate being travel by road through India."
1867,1867,"At present, Paro International Airport caters to 160,000 passengers annually, an average of 450 passengers per day, 3800 scheduled flights annually, and about 10 flights daily in and out of Paro."
1868,1868,"A key issue is the capacity of Paro airport to serve double the number of passengers, flights and air cargo in the Eleventh Plan."
1869,1869,"With the expansion of aviation sector, the Department of Civil Aviation is confronted with a key challenge of retaining its professionals who are being offered better remuneration and service conditions by the airline companies."
1870,1870,"Further, conflicting functions of regulation and implementation being carried out by the department is creating potential for conflict of interest."
1871,1871,"Therefore, retention of professionals and separation of conflicting function are critical issues that need to be reviewed and addressed in the Eleventh Plan."
1872,1872,"205 Eleventh Five Year Plan - Main Document Volume I 5.10.3 Sector Key Result Areas Table 5.10.2 Transport Sector SKRAs/KPIs GNH Pillars Sector Key Result Areas Key Performance Indicators Baseline Target Reduction of annual road fatalities per 10,000 vehicles 17 <10 Increase in ton of air cargo carriage (in million tons) 0.62 m/tons 2.2 m/tons No."
1873,1873,of passengers handled by Paro International Airport annually 160140 300000 Lack of effective implementation (LEI) percentage to be reduced to ICAO acceptable level 63.50% 50% No.
1874,1874,"of passengers using the domestic sector annually 1044 10,000 New modes of transport explored/ introduced Number of alternative modes of transport introduced (ropeway, waterway, electric public transport)."
1875,1875,0 3 Contribution to GDP Average annual growth contribution to GDP 11.87% 10% Preservation and Promotion of Culture Facilities for senior citizens and those with special needs incorporated.
1876,1876,"Public transport services with facilities for senior citizens, women, children and those with special needs 0 30% Public Transport Ridership 11.8% (2012) 30% Vehicular/Aviation emission controlled Vehicle-230.36 Gg, Aviation-2.5 Gg Vehicle- 230.36 Gg, Aviation-2.5 Gg TAT for public services reduced >75 % Anticorruption Strategy implemented Average performance rating (Govt."
1877,1877,"Performance Management System - GPMS) >90 % Key Objective -i) Increase access to safe, reliable, affordable, eco-friendly, convenient transport services, including surface, air, railway, ropeways and waterways."
1878,1878,"Eco-friendly, safe, reliable and affordable surface/ air transport increased."
1879,1879,Enhance effectiveness and efficiency in delivery of public service Strengthening Good Governance Conservation & Sustainable Utilization and Management of Environment Surface/air transport emission and congestion reduced.
1880,1880,Since both Acts were legislated more than a decade ago they will be reviewed and revised during the current Plan period.
1881,1881,"Surface Transport Access to public transportation, particularly in rural areas, will be expanded by incentivizing transport operators through special subsidies."
1882,1882,"In urban areas, eco-friendly mass public transportation services will be introduced to reduce road congestion, vehicle emissions and improve public service efficiency."
1883,1883,"Road safety will be strengthened by improving driver licensing procedures, motor vehicle fitness standards, public safety awareness campaigns (especially on drink driving and over-speeding) and equipping road safety authorities with necessary equipments and tools to monitor road safety."
1884,1884,"To address the issue of coordination and implementation, integration and streamlining of transport activities under one agency will be explored."
1885,1885,"Air Transport The key strategy will be to strengthen Paro International Airport through expansion of infrastructure facilities and upgradation of security and C EN TR A L PL A N 05 206 Eleventh Five Year Plan - Main Document Volume I navigational equipment to increase its capacity to handle more passengers, cargo and flights."
1886,1886,"At the same time, upgradation of Gelephu to an international airport will also be explored."
1887,1887,"Further, improvements of the three domestic airports will be carried out to enhance safety and reliability and to facilitate increased domestic air transport."
1888,1888,Bhutan will continue to pursue further signing of Air Service Agreements to expand air services to and from international destinations.
1889,1889,The retention of professionals will be addressed through a comprehensive review of civil service system and conflicting functions will be addressed by exploring ways to ensure greater independence and autonomy of the Department of Civil Aviation.
1890,1890,"Further, the legal and policy instruments will be reviewed and strengthened."
1891,1891,"Alternate modes of transport To ease the pressure on air and surface transport, alternate modes of transporting passengers and goods will be explored such as waterway, ropeway, cable cars and railway links."
1892,1892,"Furthermore, the government is already exploring piloting of electric powered taxis to address environmental issues and reduce dependency on fossil fuel."
1893,1893,"5.10.5 Key Programmes Surface Transport Development - the programme will focus on the implementation of Bhutan Transport Strategies 2040, and in particular address the issues of traffic congestion in the major Thromdes by setting up the Bus Rapid Transport systems in Thimphu and Phuentsholing."
1894,1894,"In addition, alternate modes of transport will also be explored for the purpose of controlling the carbon emission."
1895,1895,"Development of Air Transport - the programme will focus on further expansion of the Paro International Airport to deal with the expansion in air traffic and passengers, as well as strengthen the domestic airports to optimize their functionality."
1896,1896,Promotion of electric vehicles will be pursued to address environmental issues and reduce dependency on fossil fuel.
1897,1897,Programme details are presented in Eleventh Plan Volume II document.
1898,1898,"207 Eleventh Five Year Plan - Main Document Volume I 5.11 Roads & Bridges Sector For a landlocked country, a good network of road and bridges play a critical role in facilitating trade, transit, reducing the high cost of transportation normally associated with mountainous countries and for delivery of socio-economic services particularly to scattered and far-off rural communities."
1899,1899,"Recognizing the importance of the roads and bridges sector, Bhutan started its first Five Year Plan in 1961 with the construction of the first national highway - Phuentsholing-Thimphu highway."
1900,1900,Since then the network of roads and bridges have expanded significantly and today all twenty Dzongkhags are connected by road.
1901,1901,The Department of Roads is the national authority responsible for all roads in the country.
1902,1902,"For roads in a Thromde, the Thromde Administration is responsible for the administration and management of all roads, constructed or maintained by it, including any access roads."
1903,1903,"Similarly, for roads in the Dzongkhag and Gewog, the Dzongkhag administration is responsible for the administration and management of all roads constructed or maintained by it, including access roads."
1904,1904,"For farm roads technical specification, guidelines and manuals are provided by the Ministry of Agriculture and Forest."
1905,1905,"The strategic framework for the construction, expansion and maintenance of road infrastructure up to the year 2027 is guided by the Road Sector Master Plan (RSMP)."
1906,1906,"The main thrust of the roads and bridges sector in the Eleventh Plan will be to complete the national highway grid using environment friendly technology, construction and upgradation of roads connecting to hydro-power projects and to enhance the safety, reliability and quality of roads."
1907,1907,"5.11.1 Current Situation Bhutans road transportation network is classified into five categories as follows: National Highways consisting of Asian Highway/International Road (currently Phuentsholing-Thimphu Highway), Primary National Highway (existing East-West Highway and North-South highways) and Secondary National Highway (currently District Roads); Dzongkhag Roads (currently feeder Roads); C EN TR A L PL A N 05 208 Eleventh Five Year Plan - Main Document Volume I Farm Roads (currently Farm Roads and Power Tiller Roads); Thromde Roads (currently Urban Roads); and Access Roads."
1908,1908,"Currently, Bhutan has 10,578.26 kilometers of various categories of roads, 337 numbers of bridges totaling 10,604.5 meters and 380 pedestrian bridges nationwide."
1909,1909,"Table 5.11.1 - Type and Length of Roads by Dzongkhag as of June 2012 Dzongkhags Expressway Primary NH Secondary NH Access Road Dzongkhag Road Thromde Road Farm Road Forest Road Power Tiller Road Total % Bumthang - 151.26 - 21.36 50.00 1.70 169.09 47.80 - 441.21 4.2% Chukha - 272.00 - 177.33 58.57 28.58 334.57 30.90 23.30 925.25 8.7% Dagana - 11.00 87.00 2.20 62.29 1.50 231.05 18.50 28.10 441.64 4.2% Gasa - - 48.65 3.18 7.00 - 11.01 - - 69.84 0.7% Haa - 16.00 25.60 0.90 34.00 7.93 108.65 47.00 6.10 246.18 2.3% Lhuntse - - 45.00 3.70 69.41 0.77 376.85 7.05 5.50 508.28 4.8% Mongar - 213.40 20.00 27.34 71.44 11.40 689.18 44.80 3.50 1081.06 10.2% Paro - 103.00 64.59 25.60 41.06 5.20 353.72 5.19 2.00 600.36 5.7% Pemagatshel - 66.60 36.00 5.76 94.80 - 330.76 17.60 - 551.52 5.2% Punakha - 52.00 26.50 18.41 52.33 4.41 312.63 59.00 10.40 535.68 5.1% S/Jongkhar - 73.80 48.00 21.90 41.00 7.32 242.61 11.50 - 446.13 4.2% Samtse - 50.00 49.00 8.30 60.40 8.25 213.20 7.00 - 396.15 3.7% Sarpang - 112.60 - 13.91 40.30 14.62 203.75 111.30 - 496.48 4.7% Tashi Yangtse - - 40.00 4.16 40.70 8.72 178.56 20.69 - 292.83 2.8% Thimphu 6.20 74.00 23.53 20.50 57.90 216.15 57.98 103.86 - 560.12 5.3% Trashigang - 121.50 5.00 41.73 168.33 6.60 610.32 8.50 23.00 984.97 9.3% Trongsa - 174.65 - 10.16 23.85 0.62 177.98 - 4.60 391.86 3.7% Tsirang - 77.00 - 12.41 25.00 3.30 169.25 6.50 - 293.46 2.8% Wangdue - 132.00 - 120.26 110.78 8.50 257.54 117.81 - 746.89 7.1% Zhemgang - 159.31 50.69 20.78 81.12 14.10 228.50 2.25 11.60 568.35 5.4% Grand Total 6.20 1860.12 569.55 559.88 1190.29 349.67 5257.20 667.25 118.10 10578.26 100% Source: Department of Roads, MoWHS 5.11.2 Key Challenges Most of the existing primary and secondary national highways, including the Northern East-West highway, were constructed in the 1960s and 1970s when the traffic volume was low with the primary objective of providing connectivity to settlements."
1910,1910,"With increase in traffic volume, road safety has become a growing challenge."
1911,1911,"Additionally, financial sustainability in terms of improving the specification of the existing roads, maintenance costs and blacktopping cost of unpaved roads is another challenge."
1912,1912,"To improve access particularly in rural areas, extensive network of Gewog Connectivity roads have been constructed and many of these roads are unpaved."
1913,1913,"A preliminary assessment of blacktopping about 2,000 kilometers 209 Eleventh Five Year Plan - Main Document Volume I of Gewog Connectivity roads would cost about Nu."
1914,1914,"The ADBs Country Diagnostic Study 2012 estimates that while the density of road has doubled from about 1.5 km/km in 2005 to 3 km/km in 2011, the percentage of paved roads have decreased from about 55 percent to about 35 percent during the same period."
1915,1915,Graph 5.11.1 Percentage of Paved Roads and Road Density Source: Asian Development Bank (ADB)s Country Diagnostic Study 2012 C EN TR A L PL A N 05 210 Eleventh Five Year Plan - Main Document Volume I 5.11.3 Sector Key Result Areas Table 5.11.2 - Roads Sector SKRAs/KPIs GNH Pillars Sector Key Result Areas Key Performance Indicators Baseline Target KM of Primary National Highways constructed in EFRC manner.
1916,1916,2444 2881 KM of Primary National Highways up-graded in EFRC manner 1068.64 1261.43 Permanent solutions to stabilize problematic landslide areas (No.)
1917,1917,3 7 KM of new roads connecting HPP constructed in EFRC manner 23.08 34.10 KM of roads connecting HPP up-graded.
1918,1918,33.80 73.00 Travel time in trucking hours along the NEWH (Hrs).
1919,1919,46.5 30 National Highways open to traffic all times (immediate clearance of road blocks) (Hrs).
1920,1920,of gewogs connected with black topped road NA 203 No.
1921,1921,of temporary (bailey) bridges replaced 160 184 No.
1922,1922,of suspension bridges constructed 384 458 No.
1923,1923,of suspension bridges maintained 400 446 No.
1924,1924,of bridges with Bhutanese architectural features.
1925,1925,of bazaams constructed 16 26 TAT of commonly availed services reduced by at least 70%; 70% National Anti-corruption strategy implemented NA 100% Average Performance Rating >90%; Km of roads constructed and maintained through PPP model 25.36 105.94 No.
1926,1926,of km road maintained through PPP (No.
1927,1927,"of km) 296 1296.00 ROADS & BRIDGES SECTOR - SKRAs/KPIs Strengthening Good Governance Key Objective - i) Increase efficiency and reliability of road infrastructure to facilitate economic development and strengthening national security, and ii) Ensure sustainability through mechanization and greater private sector participation Construction and up gradation of Primary National Highways incorporating EFRC completed Sustainable and Equitable Socio- Economic Development Roads connecting to new HPP constructed and strengthened incorporating EFRC and Bhutanese architectural features Construction and maintenance of road network strengthened through standards, specifications and geometrics improvement for all weather access road to ensure safety Bridges constructed and replaced to improve access Enhanced efficiency and Effectiveness of in Public service delivery Private sector participation 5.11.4 Strategies Institutional and human resource development will be one key strategy to strengthen the capacity of road sector to plan, design, build and maintain road network."
1928,1928,"To reduce travel time and costs and to enhance road safety, road specifications and standards will be improved and geometric improvements and regular maintenance of road will be carried out."
1929,1929,The government will also explore possibilities of tunneling certain stretches of the highways through PPP wherever feasible.
1930,1930,The involvement of the private sector in the maintenance of roads will also be explored in order to ensure financial sustainability.
1931,1931,211 Eleventh Five Year Plan - Main Document Volume I 5.11.5 Key Programmes Construction and Upgradation of Southern East-West Highway: The construction and upgradation of the Southern East West Highway (SEWH) from Sipsu to Jomotsangkha will be a priority.
1932,1932,In the Eleventh Plan the remaining links between Gelephu Panbang; Sarpang Lhamoizingkha; Deothang Nganglam; and Samrang Jomotsangkha will be constructed.
1933,1933,Upgradation/Improvement of Northern East -West Highway: The northern East-West highway from Thimphu to Trashigang will be upgraded and improved.
1934,1934,"Construction/Upgradation of North South Highways: The ongoing North- South highways including Gyalposhing Nganglam, Gomphu Panbang, Gesarling Lhamoizingkha and Damchu Chukha bypass Road will be completed."
1935,1935,"On completion of these roads, there will be 7 North-South highways helping to strengthen the road network and facilitate easy movement of goods and services to the Southern borders."
1936,1936,"Construction and Upgradation/Improvement of roads connecting hydro power projects: The construction of Mandelpong-Digala, Riphay Koshala and Tingtibi-Praling will be completed."
1937,1937,The upgradation of Chazam Tashiyangtse will be also carried out for the Kholongchu HPP.
1938,1938,Construction of Dzongkhag roads: The construction of ongoing Dzongkhag roads Tsebar-Mikuri-Durungri road connecting Gyalposhing-Nganglam Highway will be completed in the Eleventh Plan.
1939,1939,Programme details are presented in Eleventh Plan Volume II document.
1940,1940,C EN TR A L PL A N 05 212 Eleventh Five Year Plan - Main Document Volume I 5.12 Construction Sector The construction sector plays a vital role in the delivery of quality infrastructure which is essential for our socio-economic development.
1941,1941,It is also a key sector in terms of its contribution to economic growth and employment.
1942,1942,The key agencies responsible for the development of construction sector are: Department of Engineering Services (DES): DES was created in 2011 by bifurcating the erstwhile Department of Urban Development and Engineering Services (DUDES) into Department of Engineering Services (DES) and Department of Human Settlement (DHS).
1943,1943,"DES is responsible for promoting construction technology, providing technical backstopping to the other ministries, Dzongkhag Administrations and Thromdes and supporting professional development of all the engineers."
1944,1944,Construction Development Board (CDB): CDB is a bridge between the government and the construction industry and is responsible for facilitating development of a vibrant construction industry.
1945,1945,"Its core functions include registration, classification and monitoring of contractors, consultants and engineers/architects."
1946,1946,"Construction Development Corporation Limited (CDCL): CDCL was established on 1st July 2006 as a public sector company owned by the Royal Government of Bhutan with the following objectives: Enhance efficiency, mechanization, improve standards and create a good benchmark of quality infrastructure in the construction sector."
1947,1947,"Lead the modernization of the construction industry through the introduction of appropriate machineries and technologies, including the maintenance of an equipment bank of machines not easily available in the market to support the government and the private sector."
1948,1948,"Participate in the booming construction industry, introducing technology intensive construction and building capacity of local construction industry through collaborations."
1949,1949,"Generate employment and at the same time develop necessary skills for skilled and unskilled national manpower, thereby gradually reducing dependence on the expatriate work force."
1950,1950,The private sector is represented by the Construction Association of Bhutan under the Bhutan Chamber of Commerce and Industries (BCCI).
1951,1951,Its membership includes all firms under the construction industry.
1952,1952,213 Eleventh Five Year Plan - Main Document Volume I The sector has come a long way with establishment of various agencies and introduction of many new initiatives towards making the sector more efficient and effective.
1953,1953,"However, poor quality of construction, human resource constraints and high construction costs continue to affect the sector."
1954,1954,"The main thrust in the Eleventh Plan will, therefore, be on enhancing the quality of construction through efficient and appropriate technology, mechanization and human resource development."
1955,1955,The sectors contribution is expected to increase in the coming years with accelerated development of hydro-power projects.
1956,1956,Table 5.12.2 Construction Sectors contribution to GDP at current prices in million Nu.
1957,1957,2000 2006 2007 2008 2009 2010 2011 GDP at current prices in million Nu.
1958,1958,"19,735.77 40,673.52 49,456.60 54,713.01 61,223.48 72,496.64 85,580.58 Construction sector contribution 2,761.41 6,019.71 6,781.01 6,250.98 7,469.68 10,308.86 13,916.57 Annual Growth 40.33 -3.21% 12.65% -7.82% 19.50% 38.01% 35.00% Share of total GDP 13.99% 14.80% 13.71% 11.43% 12.20% 14.22% 16.26% Source: National Accounts Statistic 2012, NSB."
1959,1959,The contractor classification was re-categorized to increase flexibility and to allow contractors to participate in larger contract.
1960,1960,"Currently there are about 3,892 registered contractors, of which 120 are large (above Nu."
1961,1961,"15 million), 380 medium (Nu."
1962,1962,"4-15 million) and 3,392 small (under Nu."
1963,1963,"About 127 Bhutanese contractors, in various categories, are engaged in the construction of three ongoing hydropower projects."
1964,1964,"C EN TR A L PL A N 05 49LFS 2012 50CDB 214 Eleventh Five Year Plan - Main Document Volume I Table 5.12.3 - Dzongkhag-wise Contractor Classification Dzongkhag Large Medium Small Registered Total Bumthang 1 10 112 0 123 Chukha 13 25 235 0 273 Dagana 0 4 87 0 91 Gasa 0 0 21 0 21 Haa 4 14 122 0 140 Lhuentse 1 13 90 0 104 Mongar 4 23 194 1 222 Paro 12 24 238 2 276 Pemagatshel 0 12 183 2 197 Punakha 1 10 90 0 101 Samdrup Jongkhar 3 13 123 0 139 Samtse 0 10 173 0 183 Sarpang 4 25 279 1 309 Thimphu 61 124 806 2 993 Trashigang 5 31 234 1 271 Trashiyangtse 3 6 131 1 141 Trongsa 1 12 93 0 106 Tsirang 0 3 93 0 96 Wangdue Phodrang 3 14 165 1 183 Zhemgang 1 9 81 1 92 Source: Construction Association of Bhutan website 5.12.2 Key Challenges Construction sector perceived poorly for employment: With three new hydropower projects under construction and seven new projects planned to be started in the Eleventh Plan, there are ample opportunities for addressing unemployment."
1965,1965,"However, construction sector jobs are perceived as inferior by many Bhutanese and as a result foreign workers51 are brought in to fill the gap."
1966,1966,"Some of the reasons for this perception are low wages, lack of job security (workers have to find a new job once the construction project is completed), low level of mechanization and the manual nature of work."
1967,1967,"51About 22,000 foreign workers were employed by hydropower projects (labour net, 2012)."
1968,1968,"215 Eleventh Five Year Plan - Main Document Volume I Limited capacity and poor quality: The shortage of engineers, architect and other qualified professionals combined with a lack of basic tools and technology for effective planning, designing and supervision results in frequent changes in the scope of work and consequently the cost of construction projects."
1969,1969,It is estimated that Bhutanese construction projects are 15-20 percent more costly and take 50 percent longer to complete compared to similar construction work by Indian contractors on similar projects.
1970,1970,"Further, due to poor quality of construction, the cost of maintenance is expected to be double the industry standard."
